,neighborhood,latitude,longitude,name,categories
2789,Centro,-22903897,-4317831,Santander Van Gogh,Professional Services
2790,Centro,-22901079,-43179623,Centro de ConvenÃ§Ãµes,Professional Services
2791,Centro,-22904216,-43178192,Construtora tenda,Professional Services
2792,Centro,-22906172,-4317849,Condominio do Edificio Largo da Carioca,Professional Services
2793,Centro,-22909144,-43181321,Torre Leste,Professional Services
2794,Centro,-22909104,-43181634,Ventura Corporate Towers,Professional Services
2795,Centro,-22900136,-4317935,EdifÃ­cio Cardeal Leme,Professional Services
2796,Centro,-22905476,-43177156,CSM Brasil,Professional Services
2797,Centro,-2289953,-43179523,EdifÃ­cio RB 45,Professional Services
2798,Centro,-22903972,-43176493,Brb Banco de BrasÃ­lia S.A.,Professional Services
2799,Centro,-22910102,-43183602,Tve Brasil,Professional Services
2800,Centro,-22906833,-43177154,EdifÃ­cio Avenida Central,Professional Services
2801,Centro,-22900711,-43177795,Santander Financiamentos,Professional Services
2802,Centro,-22905774,-43176599,TO Brasil,Professional Services
2803,Centro,-22901679,-43177066,Bridge Consulting,Professional Services
2804,Centro,-22903183,-43176411,Cartorio do 17 Oficio de Notas,Professional Services
2805,Centro,-22910297,-4318599,Petrobras,Professional Services
2806,Centro,-22898466,-43180314,Instituto de CiÃªncias NÃ¡uticas Icn,Professional Services
2807,Centro,-22910297,-4318599,Centro Empresarial Senado,Professional Services
2808,Centro,-22908327,-43177099,Theatro Municipal - Anexo 10 andar,Professional Services
2809,Centro,-22898267,-43180685,EdifÃ­cio Porto Brasilis,Professional Services
2810,Centro,-22909542,-43178507,EdifÃ­cio Sede da Petrobras,Professional Services
2811,Centro,-22907116,-43176129,CondomÃ­nio do EdifÃ­cio Nogales,Professional Services
2812,Centro,-22902571,-43175519,Paula Chaves Advocacia,Professional Services
2813,Centro,-22906932,-43175873,Condominio Edificio Mexico,Professional Services
2814,Centro,-22904192,-43175244,Condominio do Edificio do Centro Candido Mendes,Professional Services
2815,Centro,-22908095,-43176215,Condominio do Edificio Linneo de Paula Machado,Professional Services
2816,Centro,-22905103,-43175035,Loterias Menezes CÃ´rtes,Professional Services
2817,Centro,-22907947,-43175772,Condominio do Edificio Cidade do Rio de Janeiro,Professional Services
2818,Centro,-22910021,-43177766,Mel Clinic,Professional Services
2819,Centro,-22906154,-4317529,Condominio do Edificio Comercial Rio,Professional Services
2820,Botafogo,-22949025,-43180076,Fogo de ChÃ£o,Various Restaurants
2821,Botafogo,-22951256,-43184646,Starbucks,Various Restaurants
2822,Botafogo,-22950925,-43182631,Void General Store,Various Restaurants
2823,Botafogo,-22954371,-43177506,Outback Steakhouse,Various Restaurants
2824,Botafogo,-22942728,-43181558,The Rooftop Yoo2,Various Restaurants
2825,Botafogo,-22955892,-43180052,Miam Miam,Various Restaurants
2826,Botafogo,-22954046,-43177875,Coco Bambu Botafogo Rio,Various Restaurants
2827,Botafogo,-22953826,-43185711,Cave Nacional,Various Restaurants
2828,Botafogo,-22956835,-43176373,Bacio di Latte,Various Restaurants
2829,Botafogo,-22955874,-43184756,Quartinho Bar,Various Restaurants
2830,Botafogo,-22953889,-43183078,Porco Amigo Bar,Various Restaurants
2831,Botafogo,-22954383,-43178322,Mamma Jamma,Various Restaurants
2832,Botafogo,-22954801,-43184605,Hocus Pocus DNA,Various Restaurants
